 16 2
 801 19.9999997060053971 6
 6 6 4 4
  Initial (DFT) energy, eV, spin  1
    n      Energy
    1    -3.869077740    
    2    -2.590580861    
    3    -2.000722362    
    4    -1.384123360    
    5    -1.086738547    
    6   -0.8246915784    
  Initial self-energy (VXC) diagonal, eV, spin  1
    n      <n|V_xc|n>
    1    -4.671805672    
    2    -4.128403149    
    3    -3.383169572    
    4    -3.265678336    
    5    -3.438981753    
    6    -3.222475168    
  Bare exchange diagonal, eV, spin  1
    n      <n|Sigma_x|n>
    1    -6.746901092    
    2    -5.584810081    
    3    -1.232620415    
    4    -1.023869346    
    5    -1.428369620    
    6    -1.095433995    
  Static correlation diagonal, eV, spin  1
    n      <n|Sigma_c|n>
    1   -0.2116942203    
    2   -0.2361718545    
    3   -0.2014845670    
    4   -0.2508882460    
    5   -0.3206489236    
    6   -0.2767558370    
  Static vertex diagonal, eV, spin  1
    n      <n|Sigma_g|n>
    1    0.1507025694    
    2    0.1977786353    
    3    0.1852237030    
    4    0.2120026362    
    5    0.2713611283    
    6    0.2612449088    
  Correlation diagonal, eV, spin  1
    n         E                  <n|Sigma_c(E)|n>, complex
    1    -13.86907759        -1.532717650        0.4395213688E-01
    1    -13.84407759        -1.538670693        0.4460733028E-01
    1    -13.81907759        -1.544692545        0.4527832274E-01
    1    -13.79407759        -1.550784738        0.4596568732E-01
    1    -13.76907759        -1.556948858        0.4667002552E-01
    1    -13.74407760        -1.563186546        0.4739196904E-01
    1    -13.71907760        -1.569499499        0.4813218172E-01
    1    -13.69407760        -1.575889477        0.4889136166E-01
    1    -13.66907760        -1.582358304        0.4967024336E-01
    1    -13.64407760        -1.588907867        0.5046960023E-01
    1    -13.61907760        -1.595540128        0.5129024711E-01
    1    -13.59407760        -1.602257118        0.5213304315E-01
    1    -13.56907760        -1.609060948        0.5299889478E-01
    1    -13.54407760        -1.615953810        0.5388875908E-01
    1    -13.51907760        -1.622937981        0.5480364729E-01
    1    -13.49407760        -1.630015827        0.5574462868E-01
    1    -13.46907760        -1.637189810        0.5671283479E-01
    1    -13.44407760        -1.644462490        0.5770946397E-01
    1    -13.41907760        -1.651836535        0.5873578633E-01
    1    -13.39407760        -1.659314722        0.5979314918E-01
    1    -13.36907760        -1.666899944        0.6088298293E-01
    1    -13.34407760        -1.674595219        0.6200680748E-01
    1    -13.31907760        -1.682403696        0.6316623931E-01
    1    -13.29407760        -1.690328662        0.6436299913E-01
    1    -13.26907760        -1.698373548        0.6559892035E-01
    1    -13.24407760        -1.706541942        0.6687595828E-01
    1    -13.21907760        -1.714837595        0.6819620030E-01
    1    -13.19407760        -1.723264431        0.6956187699E-01
    1    -13.16907760        -1.731826560        0.7097537446E-01
    1    -13.14407760        -1.740528286        0.7243924780E-01
    1    -13.11907760        -1.749374119        0.7395623609E-01
    1    -13.09407760        -1.758368794        0.7552927885E-01
    1    -13.06907760        -1.767517275        0.7716153434E-01
    1    -13.04407761        -1.776824779        0.7885639977E-01
    1    -13.01907761        -1.786296787        0.8061753381E-01
    1    -12.99407761        -1.795939061        0.8244888154E-01
    1    -12.96907761        -1.805757668        0.8435470226E-01
    1    -12.94407761        -1.815758990        0.8633960052E-01
    1    -12.91907761        -1.825949755        0.8840856075E-01
    1    -12.89407761        -1.836337054        0.9056698598E-01
    1    -12.86907761        -1.846928367        0.9282074135E-01
    1    -12.84407761        -1.857731589        0.9517620276E-01
    1    -12.81907761        -1.868755056        0.9764031177E-01
    1    -12.79407761        -1.880007580        0.1002206374    
    1    -12.76907761        -1.891498473        0.1029254456    
    1    -12.74407761        -1.903237586        0.1057637786    
    1    -12.71907761        -1.915235343        0.1087455436    
    1    -12.69407761        -1.927502777        0.1118816147    
    1    -12.66907761        -1.940051571        0.1151839480    
    1    -12.64407761        -1.952894096        0.1186657129    
    1    -12.61907761        -1.966043453        0.1223414428    
    1    -12.59407761        -1.979513517        0.1262272059    
    1    -12.56907761        -1.993318974        0.1303408034    
    1    -12.54407761        -2.007475368        0.1347019950    
    1    -12.51907761        -2.021999130        0.1393327597    
    1    -12.49407761        -2.036907614        0.1442575971    
    1    -12.46907761        -2.052219119        0.1495038744    
    1    -12.44407761        -2.067952901        0.1551022297    
    1    -12.41907761        -2.084129162        0.1610870390    
    1    -12.39407761        -2.100769023        0.1674969597    
    1    -12.36907762        -2.117894451        0.1743755628    
    1    -12.34407762        -2.135528147        0.1817720700    
    1    -12.31907762        -2.153693364        0.1897422135    
    1    -12.29407762        -2.172413633        0.1983492394    
    1    -12.26907762        -2.191712374        0.2076650784    
    1    -12.24407762        -2.211612341        0.2177717099    
    1    -12.21907762        -2.232134850        0.2287627501    
    1    -12.19407762        -2.253298714        0.2407452905    
    1    -12.16907762        -2.275118788        0.2538420178    
    1    -12.14407762        -2.297603993        0.2681936371    
    1    -12.11907762        -2.320754659        0.2839616060    
    1    -12.09407762        -2.344558955        0.3013311671    
    1    -12.06907762        -2.368988131        0.3205146206    
    1    -12.04407762        -2.393990234        0.3417547160    
    1    -12.01907762        -2.419481849        0.3653279364    
    1    -11.99407762        -2.445337353        0.3915473032    
    1    -11.96907762        -2.471375081        0.4207641082    
    1    -11.94407762        -2.497339709        0.4533676697    
    1    -11.91907762        -2.522880100        0.4897817351    
    1    -11.89407762        -2.547521888        0.5304554266    
    1    -11.86907762        -2.570634376        0.5758455026    
    1    -11.84407762        -2.591392304        0.6263851391    
    1    -11.81907762        -2.608735369        0.6824326768    
    1    -11.79407762        -2.621332605        0.7441927141    
    1    -11.76907762        -2.627565008        0.8116030657    
    1    -11.74407762        -2.625547107        0.8841862549    
    1    -11.71907762        -2.613214411        0.9608748831    
    1    -11.69407763        -2.588505540         1.039837247    
    1    -11.66907763        -2.549660215         1.118352631    
    1    -11.64407763        -2.495629363         1.192810876    
    1    -11.61907763        -2.426542939         1.258924945    
    1    -11.59407763        -2.344107452         1.312220753    
    1    -11.56907763        -2.251743859         1.348776515    
    1    -11.54407763        -2.154296421         1.366035201    
    1    -11.51907763        -2.057293091         1.363394904    
    1    -11.49407763        -1.965963982         1.342311546    
    1    -11.46907763        -1.884371660         1.305853969    
    1    -11.44407763        -1.814954152         1.257907332    
    1    -11.41907763        -1.758566389         1.202352432    
    1    -11.39407763        -1.714883690         1.142491952    
    1    -11.36907763        -1.682927088         1.080825417    
    1    -11.34407763        -1.661502065         1.019111160    
    1    -11.31907763        -1.649450823        0.9585698645    
    1    -11.29407763        -1.645729642        0.9000905976    
    1    -11.26907763        -1.649386449        0.8443634437    
    1    -11.24407763        -1.659516865        0.7919328004    
    1    -11.21907763        -1.675242039        0.7432051176    
    1    -11.19407763        -1.695713508        0.6984470982    
    1    -11.16907763        -1.720131301        0.6577924069    
    1    -11.14407763        -1.747762026        0.6212581123    
    1    -11.11907763        -1.777951580        0.5887658992    
    1    -11.09407763        -1.810132301        0.5601643429    
    1    -11.06907763        -1.843825379        0.5352508059    
    1    -11.04407763        -1.878638760        0.5137921087    
    1    -11.01907764        -1.914260893        0.4955428217    
    1    -10.99407764        -1.950451264        0.4802600573    
    1    -10.96907764        -1.987029120        0.4677141913    
    1    -10.94407764        -2.023861797        0.4576956359    
    1    -10.91907764        -2.060853713        0.4500182722    
    1    -10.89407764        -2.097936623        0.4445203434    
    1    -10.86907764        -2.135061342        0.4410635536    
    1    -10.84407764        -2.172190875        0.4395308962    
    1    -10.81907764        -2.209294883        0.4398234513    
    1    -10.79407764        -2.246345599        0.4418562258    
    1    -10.76907764        -2.283315642        0.4455532763    
    1    -10.74407764        -2.320178175        0.4508428656    
    1    -10.71907764        -2.356909312        0.4576538651    
    1    -10.69407764        -2.393491729        0.4659144094    
    1    -10.66907764        -2.429918019        0.4755527875    
    1    -10.64407764        -2.466193002        0.4864995176    
    1    -10.61907764        -2.502335615        0.4986897778    
    1    -10.59407764        -2.538381307        0.5120670429    
    1    -10.56907764        -2.574383929        0.5265899915    
    1    -10.54407764        -2.610413418        0.5422431302    
    1    -10.51907764        -2.646545582        0.5590474421    
    1    -10.49407764        -2.682844524        0.5770645616    
    1    -10.46907764        -2.719343684        0.5963901841    
    1    -10.44407764        -2.756032753        0.6171385667    
